sample,dataset,group,subgroup,library_prep,total_reads,countable_reads,full_saturation,baseline_saturation,ztnb_phat,ztnb_rhat,nb_lib_L,cells_or_tissue_frac
SC3_v3_NextGem_DI_PBMC_CSP_1K,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,52099830,36225521,69.241,49.934,0.675,2.726,12897841.446,1076.000
Parent_NGSC3_DI_PBMC,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,712144074,554897999,73.938,49.902,0.646,2.321,160367393.518,9766.000
5k_pbmc_v3_nextgem,scrna,PBMC_scrna,10X_3p_v3,10X_3p_v3,430312921,271986400,73.782,49.910,0.653,2.419,77866759.158,4458.000
10k_PBMCs_TotalSeq_B_3p,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,539680249,317402650,59.148,49.872,0.592,1.716,185612549.441,8583.000
manual_5k_pbmc_NGSC3_ch5,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,252902691,161151506,73.615,49.942,0.611,1.914,48765764.915,3589.000
10k_PBMC_3p_nextgem_Chromium_Controller,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,368640939,282357648,53.623,53.623,0.585,1.997,198393751.489,11070.000
pbmc_10k_protein_v3,scrna,PBMC_scrna,10X_3p_v3,10X_3p_v3,426609946,221673796,75.239,49.923,0.696,3.061,57825810.075,7502.000
1k_PBMCs_TotalSeq_B_3p,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,83798645,40217759,65.281,49.912,0.576,1.575,18526861.644,1057.000
pbmc_10k_v3,scrna,PBMC_scrna,10X_3p_v3,10X_3p_v3,734083184,471734377,68.258,49.915,0.653,2.415,176728696.438,10840.000
SC3_v3_NextGem_DI_PBMC_10K,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,1208597234,971439522,83.154,49.890,0.668,2.623,163637638.747,10024.000
pbmc_1k_v3,scrna,PBMC_scrna,10X_3p_v3,10X_3p_v3,76920923,50649153,70.767,49.938,0.703,3.191,16376050.000,1104.000
connect_5k_pbmc_NGSC3_ch1,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,352088297,204254284,73.440,49.934,0.552,1.369,66087286.523,3510.000
5k_pbmc_v3,scrna,PBMC_scrna,10X_3p_v3,10X_3p_v3,447353957,289633914,75.728,49.916,0.667,2.604,74078477.589,4462.000
connect_5k_pbmc_NGSC3_ch5,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,265664086,152181444,71.376,49.941,0.549,1.350,54837204.573,2953.000
pbmc_1k_protein_v3,scrna,PBMC_scrna,10X_3p_v3,10X_3p_v3,66060721,33449147,73.453,49.912,0.669,2.639,9777485.173,628.000
SC3_v3_NextGem_SI_PBMC_CSP_1K,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,77656033,53628674,75.649,49.925,0.666,2.596,13990596.741,1051.000
5k_pbmc_protein_v3_nextgem,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,249937025,123768170,54.393,54.393,0.544,1.668,88223634.773,4661.000
manual_5k_pbmc_NGSC3_ch1,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,264769559,173742092,79.122,49.935,0.605,1.858,38629141.118,3815.000
SC3_v3_NextGem_SI_PBMC_10K,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,1889370721,1516437230,88.326,49.893,0.655,2.444,165371909.813,9923.000
10k_PBMC_3p_nextgem_Chromium_X,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,496387931,380479820,60.113,49.897,0.630,2.122,204974115.683,11557.000
10k_Human_PBMC_TotalSeqB_3p_gemx,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,621075556,456822624,56.401,49.679,0.554,1.371,314460233.491,10051.000
10k_Human_PBMC_TotalSeqC_5p_gemx,scrna,PBMC_scrna,10X_5p_v3,10X_5p_v3,596940971,430538064,59.658,49.907,0.728,3.682,218170253.020,9179.000
20k_PBMC_5pv2_HT_nextgem_Chromium_X,scrna,PBMC_scrna,10X_5p_v2,10X_5p_v2,429889008,273392673,61.416,49.776,0.729,3.690,128590848.611,12643.000
20k_PBMC_3p_HT_nextgem_Chromium_X,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,798331069,612574682,49.481,49.481,0.593,1.692,524719883.982,23329.000
5k_Human_Donor1_PBMC_3p_gem-x_GEX,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,798331069,612574682,49.481,49.481,0.593,1.692,524719883.982,23330.000
5k_Human_Donor2_PBMC_3p_gem-x_GEX,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,200184366,136737000,42.453,42.453,0.636,1.489,160099625.955,5743.000
5k_Human_Donor3_PBMC_3p_gem-x_GEX,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,179871188,122987149,47.272,47.272,0.596,1.533,118142025.801,4471.000
5k_Human_Donor4_PBMC_3p_gem-x_GEX,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,200749273,123308372,48.073,48.073,0.578,1.443,116863682.397,5397.000
Lung_Cancer_PBMC,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,353568540,340104426,70.233,49.973,0.746,4.102,112089092.021,14050.000
PBMC_Control2,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,462646462,446040543,70.596,49.944,0.752,4.245,144142652.143,17242.000
Kidney_Sarcomatoid_PBMC,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,415800942,400343807,70.457,49.970,0.748,4.154,130570298.930,16139.000
Kidney_Cancer_PBMC,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,420861161,405637611,70.339,49.972,0.748,4.168,132883423.545,17267.000
PBMC_Control1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,409600974,393538624,70.083,49.978,0.744,4.055,130496699.597,19389.000
10k_Human_PBMC_TotalSeqB_singleplex_10k_Human_PBMC_TotalSeqB_singleplex,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,696810797,464498369,80.401,49.920,0.635,2.190,96961728.739,8687.000
16plex_human_PBMC_TotalSeqC_multiplex_PBMC_01_BC1_AB1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,377401116,243780068,61.107,49.956,0.732,3.789,116430601.951,8005.000
10k_Human_DTC_Melanoma_3p_gemx,scrna_expanded,Melanoma,10X_3p_v4,10X_3p_v4,723662660,531175919,60.244,49.872,0.571,1.523,306642189.754,9617.000
10k_Human_DTC_Melanoma_3p_nextgem,scrna_expanded,Melanoma,10X_3p_v31,10X_3p_v31,840874419,671571979,80.134,49.896,0.681,2.812,136019907.223,15288.000
10k_Human_DTC_Melanoma_5p_gemx,scrna_expanded,Melanoma,10X_5p_v3,10X_5p_v3,801227972,553782481,56.173,49.905,0.725,3.612,319901921.925,12407.000
10k_Human_DTC_Melanoma_5p_nextgem,scrna_expanded,Melanoma,10X_5p_v2,10X_5p_v2,354614544,243777458,68.843,49.650,0.732,3.725,84354239.654,8042.000
