,sample,library_prep,dataset,group,subgroup,bam,gtf,positions,probes,extra
0,Visium_HD_Human_Breast_Cancer_FFPE,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Breast_Cancer_FFPE/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Breast_Cancer_FFPE/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Breast_Cancer_FFPE/outs/probe_set.csv,
1,Visium_HD_Human_Breast_Cancer_Fixed_Frozen,10X_visium_hd,visium_hd,visium_hd,Fixed_Frozen,bam_prefix/Visium_HD_Human_Breast_Cancer_Fixed_Frozen/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Breast_Cancer_Fixed_Frozen/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Breast_Cancer_Fixed_Frozen/outs/probe_set.csv,
2,Visium_HD_Human_Breast_Cancer_Fresh_Frozen,10X_visium_hd,visium_hd,visium_hd,Fresh_Frozen,bam_prefix/Visium_HD_Human_Breast_Cancer_Fresh_Frozen/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Breast_Cancer_Fresh_Frozen/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Breast_Cancer_Fresh_Frozen/outs/probe_set.csv,
3,Visium_HD_Human_Colon_Cancer,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Colon_Cancer/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Colon_Cancer/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Colon_Cancer/outs/probe_set.csv,
4,Visium_HD_Human_Kidney_FFPE,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Kidney_FFPE/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Kidney_FFPE/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Kidney_FFPE/outs/probe_set.csv,
5,Visium_HD_Human_Lung_Cancer,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Lung_Cancer/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Lung_Cancer/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Lung_Cancer/outs/probe_set.csv,
6,Visium_HD_Human_Lung_Cancer_Fixed_Frozen,10X_visium_hd,visium_hd,visium_hd,Fixed_Frozen,bam_prefix/Visium_HD_Human_Lung_Cancer_Fixed_Frozen/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Lung_Cancer_Fixed_Frozen/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Lung_Cancer_Fixed_Frozen/outs/probe_set.csv,
7,Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1/outs/probe_set.csv,
8,Visium_HD_Human_Lung_Cancer_HD_Only_Experiment2,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment2/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment2/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Lung_Cancer_HD_Only_Experiment2/outs/probe_set.csv,
9,Visium_HD_Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2/outs/probe_set.csv,
10,Visium_HD_Human_Lung_Cancer_post_Xenium_v1_Experiment1,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Lung_Cancer_post_Xenium_v1_Experiment1/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Lung_Cancer_post_Xenium_v1_Experiment1/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Lung_Cancer_post_Xenium_v1_Experiment1/outs/probe_set.csv,
11,Visium_HD_Human_Lymph_Node_FFPE,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Lymph_Node_FFPE/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Lymph_Node_FFPE/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Lymph_Node_FFPE/outs/probe_set.csv,
12,Visium_HD_Human_Ovarian_Cancer_FF,10X_visium_hd,visium_hd,visium_hd,Fresh_Frozen,bam_prefix/Visium_HD_Human_Ovarian_Cancer_FF/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Ovarian_Cancer_FF/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Ovarian_Cancer_FF/outs/probe_set.csv,
13,Visium_HD_Human_Pancreas,10X_visium_hd,visium_hd,visium_hd,FFPE,bam_prefix/Visium_HD_Human_Pancreas/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,bam_prefix/Visium_HD_Human_Pancreas/outs/binned_outputs/square_002um/spatial/tissue_positions.parquet,bam_prefix/Visium_HD_Human_Pancreas/outs/probe_set.csv,
